Date,Time,StationCode,WeatherCode,Tide,WY,WaterTemperature,Secchi,Conductivity,SpCnd,pH,DO,Turbidity,MicrocystisVisualRank,ConditionCode,FieldComments,LabComments,MeshSize,FlowMeterSpeed,SetTime,FlowMeterStart,FlowMeterEnd,Flowdiff,Flowdiff_ed,VolMeso,SubMeso,VolMicro,SubMicro,Subsample,PropSubsampled,VolNet,VolNet_ed,OrganismID,TaxonName,TaxonRank,LifeStage,Count,CPUE,CPUE_ed,Flag_PQC,Comment_PQC,Flag_QC1,Comment_QC1,Flag_QC2,Comment_QC2,Flag_QC3,Comment_QC3
1999-03-09,07:45:00,SHR,CLR,NA,1999,8.9,0.47,NA,NA,NA,NA,NA,NA,1,SHRZ 002,lots of sand,150_micron,Regular,10,160056,170551,10495,10495,125,1,125,1,5,0.04,55.377,55.377,69,Cladocera,Suborder,NA,36,16.252,16.252,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-09,07:45:00,SHR,CLR,NA,1999,8.9,0.47,NA,NA,NA,NA,NA,NA,1,SHRZ 002,lots of sand,150_micron,Regular,10,160056,170551,10495,10495,125,1,125,1,5,0.04,55.377,55.377,3,Copepoda,Subclass,nauplius,1,0.451,0.451,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-09,07:45:00,SHR,CLR,NA,1999,8.9,0.47,NA,NA,NA,NA,NA,NA,1,SHRZ 002,lots of sand,150_micron,Regular,10,160056,170551,10495,10495,125,1,125,1,5,0.04,55.377,55.377,8,Cyclopoida,Order,copepodid,44,19.864,19.864,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-09,07:45:00,SHR,CLR,NA,1999,8.9,0.47,NA,NA,NA,NA,NA,NA,1,SHRZ 002,lots of sand,150_micron,Regular,10,160056,170551,10495,10495,125,1,125,1,5,0.04,55.377,55.377,70,Cyclopoida,Order,NA,5,2.257,2.257,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-09,07:45:00,SHR,CLR,NA,1999,8.9,0.47,NA,NA,NA,NA,NA,NA,1,SHRZ 002,lots of sand,150_micron,Regular,10,160056,170551,10495,10495,125,1,125,1,5,0.04,55.377,55.377,37,Daphnia sp.,Genus,NA,8,3.612,3.612,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-09,07:45:00,SHR,CLR,NA,1999,8.9,0.47,NA,NA,NA,NA,NA,NA,1,SHRZ 002,lots of sand,150_micron,Regular,10,160056,170551,10495,10495,125,1,125,1,5,0.04,55.377,55.377,41,Diaphanosoma sp.,Genus,NA,3,1.354,1.354,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-09,07:45:00,SHR,CLR,NA,1999,8.9,0.47,NA,NA,NA,NA,NA,NA,1,SHRZ 002,lots of sand,150_micron,Regular,10,160056,170551,10495,10495,125,1,125,1,5,0.04,55.377,55.377,46,Harpacticoida,Order,NA,1,0.451,0.451,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-09,07:45:00,SHR,CLR,NA,1999,8.9,0.47,NA,NA,NA,NA,NA,NA,1,SHRZ 002,lots of sand,150_micron,Regular,10,160056,170551,10495,10495,125,1,125,1,5,0.04,55.377,55.377,1,Rotifera,Phylum,NA,41,18.509,18.51,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-09,09:45:00,STTD,CLR,NA,1999,9.4,0.28,NA,NA,NA,NA,NA,NA,NA,STTDZ 002 - Net may have been twisted,NA,150_micron,Regular,10,170556,190003,19447,19447,75,1,75,1,5,0.06667,102.612,102.612,35,Bosmina longirostris,Species,NA,3,0.439,0.439,1,NA,3,FMHIGH,3,SAMP,1,NA
1999-03-09,09:45:00,STTD,CLR,NA,1999,9.4,0.28,NA,NA,NA,NA,NA,NA,NA,STTDZ 002 - Net may have been twisted,NA,150_micron,Regular,10,170556,190003,19447,19447,75,1,75,1,5,0.06667,102.612,102.612,64,Calanoida,Order,copepodid,4,0.585,0.585,1,NA,3,FMHIGH,3,SAMP,1,NA
1999-03-09,09:45:00,STTD,CLR,NA,1999,9.4,0.28,NA,NA,NA,NA,NA,NA,NA,STTDZ 002 - Net may have been twisted,NA,150_micron,Regular,10,170556,190003,19447,19447,75,1,75,1,5,0.06667,102.612,102.612,69,Cladocera,Suborder,NA,16,2.339,2.339,1,NA,3,FMHIGH,3,SAMP,1,NA
1999-03-09,09:45:00,STTD,CLR,NA,1999,9.4,0.28,NA,NA,NA,NA,NA,NA,NA,STTDZ 002 - Net may have been twisted,NA,150_micron,Regular,10,170556,190003,19447,19447,75,1,75,1,5,0.06667,102.612,102.612,3,Copepoda,Subclass,nauplius,1,0.146,0.146,1,NA,3,FMHIGH,3,SAMP,1,NA
1999-03-09,09:45:00,STTD,CLR,NA,1999,9.4,0.28,NA,NA,NA,NA,NA,NA,NA,STTDZ 002 - Net may have been twisted,NA,150_micron,Regular,10,170556,190003,19447,19447,75,1,75,1,5,0.06667,102.612,102.612,70,Cyclopoida,Order,NA,2,0.292,0.292,1,NA,3,FMHIGH,3,SAMP,1,NA
1999-03-09,09:45:00,STTD,CLR,NA,1999,9.4,0.28,NA,NA,NA,NA,NA,NA,NA,STTDZ 002 - Net may have been twisted,NA,150_micron,Regular,10,170556,190003,19447,19447,75,1,75,1,5,0.06667,102.612,102.612,37,Daphnia sp.,Genus,NA,3,0.439,0.439,1,NA,3,FMHIGH,3,SAMP,1,NA
1999-03-09,09:45:00,STTD,CLR,NA,1999,9.4,0.28,NA,NA,NA,NA,NA,NA,NA,STTDZ 002 - Net may have been twisted,NA,150_micron,Regular,10,170556,190003,19447,19447,75,1,75,1,5,0.06667,102.612,102.612,1,Rotifera,Phylum,NA,13,1.9,1.9,1,NA,3,FMHIGH,3,SAMP,1,NA
1999-03-11,07:45:00,SHR,CLR,NA,1999,8.9,0.5,NA,NA,NA,NA,NA,NA,1,SHRZ 003   The meter reading seems low off from comparison  NI,lots of sediment,150_micron,Regular,10,101596,105060,3464,3464,125,1,125,1,5,0.04,18.278,18.278,60,Annelida,Phylum,NA,4,5.471,5.471,1,NA,1,NA,1,NA,1,NA
1999-03-11,07:45:00,SHR,CLR,NA,1999,8.9,0.5,NA,NA,NA,NA,NA,NA,1,SHRZ 003   The meter reading seems low off from comparison  NI,lots of sediment,150_micron,Regular,10,101596,105060,3464,3464,125,1,125,1,5,0.04,18.278,18.278,35,Bosmina longirostris,Species,NA,6,8.207,8.207,1,NA,1,NA,1,NA,1,NA
1999-03-11,07:45:00,SHR,CLR,NA,1999,8.9,0.5,NA,NA,NA,NA,NA,NA,1,SHRZ 003   The meter reading seems low off from comparison  NI,lots of sediment,150_micron,Regular,10,101596,105060,3464,3464,125,1,125,1,5,0.04,18.278,18.278,69,Cladocera,Suborder,NA,25,34.194,34.194,1,NA,1,NA,1,NA,1,NA
1999-03-11,07:45:00,SHR,CLR,NA,1999,8.9,0.5,NA,NA,NA,NA,NA,NA,1,SHRZ 003   The meter reading seems low off from comparison  NI,lots of sediment,150_micron,Regular,10,101596,105060,3464,3464,125,1,125,1,5,0.04,18.278,18.278,70,Cyclopoida,Order,NA,3,4.103,4.103,1,NA,1,NA,1,NA,1,NA
1999-03-11,07:45:00,SHR,CLR,NA,1999,8.9,0.5,NA,NA,NA,NA,NA,NA,1,SHRZ 003   The meter reading seems low off from comparison  NI,lots of sediment,150_micron,Regular,10,101596,105060,3464,3464,125,1,125,1,5,0.04,18.278,18.278,8,Cyclopoida,Order,copepodid,60,82.066,82.067,1,NA,1,NA,1,NA,1,NA
1999-03-11,07:45:00,SHR,CLR,NA,1999,8.9,0.5,NA,NA,NA,NA,NA,NA,1,SHRZ 003   The meter reading seems low off from comparison  NI,lots of sediment,150_micron,Regular,10,101596,105060,3464,3464,125,1,125,1,5,0.04,18.278,18.278,37,Daphnia sp.,Genus,NA,9,12.31,12.31,1,NA,1,NA,1,NA,1,NA
1999-03-11,07:45:00,SHR,CLR,NA,1999,8.9,0.5,NA,NA,NA,NA,NA,NA,1,SHRZ 003   The meter reading seems low off from comparison  NI,lots of sediment,150_micron,Regular,10,101596,105060,3464,3464,125,1,125,1,5,0.04,18.278,18.278,41,Diaphanosoma sp.,Genus,NA,7,9.574,9.574,1,NA,1,NA,1,NA,1,NA
1999-03-11,07:45:00,SHR,CLR,NA,1999,8.9,0.5,NA,NA,NA,NA,NA,NA,1,SHRZ 003   The meter reading seems low off from comparison  NI,lots of sediment,150_micron,Regular,10,101596,105060,3464,3464,125,1,125,1,5,0.04,18.278,18.278,1,Rotifera,Phylum,NA,60,82.066,82.067,1,NA,1,NA,1,NA,1,NA
1999-03-11,09:28:00,STTD,CLR,NA,1999,9.4,0.32,NA,NA,NA,NA,NA,NA,NA,STTDZ 003,NA,150_micron,Regular,10,105062,122258,17196,17196,75,1,75,1,5,0.06667,90.735,90.735,63,Acanthocyclops vernalis,Species,NA,6,0.992,0.992,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-11,09:28:00,STTD,CLR,NA,1999,9.4,0.32,NA,NA,NA,NA,NA,NA,NA,STTDZ 003,NA,150_micron,Regular,10,105062,122258,17196,17196,75,1,75,1,5,0.06667,90.735,90.735,60,Annelida,Phylum,NA,1,0.165,0.165,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-11,09:28:00,STTD,CLR,NA,1999,9.4,0.32,NA,NA,NA,NA,NA,NA,NA,STTDZ 003,NA,150_micron,Regular,10,105062,122258,17196,17196,75,1,75,1,5,0.06667,90.735,90.735,35,Bosmina longirostris,Species,NA,8,1.322,1.323,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-11,09:28:00,STTD,CLR,NA,1999,9.4,0.32,NA,NA,NA,NA,NA,NA,NA,STTDZ 003,NA,150_micron,Regular,10,105062,122258,17196,17196,75,1,75,1,5,0.06667,90.735,90.735,69,Cladocera,Suborder,NA,69,11.406,11.407,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-11,09:28:00,STTD,CLR,NA,1999,9.4,0.32,NA,NA,NA,NA,NA,NA,NA,STTDZ 003,NA,150_micron,Regular,10,105062,122258,17196,17196,75,1,75,1,5,0.06667,90.735,90.735,3,Copepoda,Subclass,nauplius,1,0.165,0.165,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-11,09:28:00,STTD,CLR,NA,1999,9.4,0.32,NA,NA,NA,NA,NA,NA,NA,STTDZ 003,NA,150_micron,Regular,10,105062,122258,17196,17196,75,1,75,1,5,0.06667,90.735,90.735,70,Cyclopoida,Order,NA,3,0.496,0.496,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-11,09:28:00,STTD,CLR,NA,1999,9.4,0.32,NA,NA,NA,NA,NA,NA,NA,STTDZ 003,NA,150_micron,Regular,10,105062,122258,17196,17196,75,1,75,1,5,0.06667,90.735,90.735,8,Cyclopoida,Order,copepodid,22,3.637,3.637,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-11,09:28:00,STTD,CLR,NA,1999,9.4,0.32,NA,NA,NA,NA,NA,NA,NA,STTDZ 003,NA,150_micron,Regular,10,105062,122258,17196,17196,75,1,75,1,5,0.06667,90.735,90.735,37,Daphnia sp.,Genus,NA,6,0.992,0.992,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-11,09:28:00,STTD,CLR,NA,1999,9.4,0.32,NA,NA,NA,NA,NA,NA,NA,STTDZ 003,NA,150_micron,Regular,10,105062,122258,17196,17196,75,1,75,1,5,0.06667,90.735,90.735,21,Diaptomus sp.,Genus,NA,3,0.496,0.496,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-11,09:28:00,STTD,CLR,NA,1999,9.4,0.32,NA,NA,NA,NA,NA,NA,NA,STTDZ 003,NA,150_micron,Regular,10,105062,122258,17196,17196,75,1,75,1,5,0.06667,90.735,90.735,46,Harpacticoida,Order,NA,4,0.661,0.661,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-11,09:28:00,STTD,CLR,NA,1999,9.4,0.32,NA,NA,NA,NA,NA,NA,NA,STTDZ 003,NA,150_micron,Regular,10,105062,122258,17196,17196,75,1,75,1,5,0.06667,90.735,90.735,1,Rotifera,Phylum,NA,21,3.471,3.472,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-16,07:56:00,SHR,CLD,NA,1999,10.5,0.56,NA,NA,NA,NA,NA,NA,1,SHRZ 004,NA,150_micron,Regular,10,122279,128907,6628,6628,200,1,200,1,5,0.025,34.973,34.973,60,Annelida,Phylum,NA,1,1.144,1.144,1,NA,1,NA,1,NA,1,NA
1999-03-16,07:56:00,SHR,CLD,NA,1999,10.5,0.56,NA,NA,NA,NA,NA,NA,1,SHRZ 004,NA,150_micron,Regular,10,122279,128907,6628,6628,200,1,200,1,5,0.025,34.973,34.973,35,Bosmina longirostris,Species,NA,5,5.719,5.719,1,NA,1,NA,1,NA,1,NA
1999-03-16,07:56:00,SHR,CLD,NA,1999,10.5,0.56,NA,NA,NA,NA,NA,NA,1,SHRZ 004,NA,150_micron,Regular,10,122279,128907,6628,6628,200,1,200,1,5,0.025,34.973,34.973,64,Calanoida,Order,copepodid,6,6.862,6.862,1,NA,1,NA,1,NA,1,NA
1999-03-16,07:56:00,SHR,CLD,NA,1999,10.5,0.56,NA,NA,NA,NA,NA,NA,1,SHRZ 004,NA,150_micron,Regular,10,122279,128907,6628,6628,200,1,200,1,5,0.025,34.973,34.973,69,Cladocera,Suborder,NA,7,8.006,8.006,1,NA,1,NA,1,NA,1,NA
1999-03-16,07:56:00,SHR,CLD,NA,1999,10.5,0.56,NA,NA,NA,NA,NA,NA,1,SHRZ 004,NA,150_micron,Regular,10,122279,128907,6628,6628,200,1,200,1,5,0.025,34.973,34.973,3,Copepoda,Subclass,nauplius,4,4.575,4.575,1,NA,1,NA,1,NA,1,NA
1999-03-16,07:56:00,SHR,CLD,NA,1999,10.5,0.56,NA,NA,NA,NA,NA,NA,1,SHRZ 004,NA,150_micron,Regular,10,122279,128907,6628,6628,200,1,200,1,5,0.025,34.973,34.973,70,Cyclopoida,Order,NA,12,13.725,13.725,1,NA,1,NA,1,NA,1,NA
1999-03-16,07:56:00,SHR,CLD,NA,1999,10.5,0.56,NA,NA,NA,NA,NA,NA,1,SHRZ 004,NA,150_micron,Regular,10,122279,128907,6628,6628,200,1,200,1,5,0.025,34.973,34.973,8,Cyclopoida,Order,copepodid,17,19.444,19.444,1,NA,1,NA,1,NA,1,NA
1999-03-16,07:56:00,SHR,CLD,NA,1999,10.5,0.56,NA,NA,NA,NA,NA,NA,1,SHRZ 004,NA,150_micron,Regular,10,122279,128907,6628,6628,200,1,200,1,5,0.025,34.973,34.973,37,Daphnia sp.,Genus,NA,2,2.287,2.287,1,NA,1,NA,1,NA,1,NA
1999-03-16,07:56:00,SHR,CLD,NA,1999,10.5,0.56,NA,NA,NA,NA,NA,NA,1,SHRZ 004,NA,150_micron,Regular,10,122279,128907,6628,6628,200,1,200,1,5,0.025,34.973,34.973,1,Rotifera,Phylum,NA,18,20.587,20.587,1,NA,1,NA,1,NA,1,NA
1999-03-16,10:00:00,STTD,CLD,NA,1999,12.2,0.27,NA,NA,NA,NA,NA,NA,NA,STTDZ 004,NA,150_micron,Regular,10,123907,139578,15671,15671,75,1,75,1,1,0.01333,82.688,82.688,63,Acanthocyclops vernalis,Species,NA,2,1.815,1.814,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-16,10:00:00,STTD,CLD,NA,1999,12.2,0.27,NA,NA,NA,NA,NA,NA,NA,STTDZ 004,NA,150_micron,Regular,10,123907,139578,15671,15671,75,1,75,1,1,0.01333,82.688,82.688,35,Bosmina longirostris,Species,NA,5,4.536,4.535,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-16,10:00:00,STTD,CLD,NA,1999,12.2,0.27,NA,NA,NA,NA,NA,NA,NA,STTDZ 004,NA,150_micron,Regular,10,123907,139578,15671,15671,75,1,75,1,1,0.01333,82.688,82.688,69,Cladocera,Suborder,NA,23,20.867,20.862,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-16,10:00:00,STTD,CLD,NA,1999,12.2,0.27,NA,NA,NA,NA,NA,NA,NA,STTDZ 004,NA,150_micron,Regular,10,123907,139578,15671,15671,75,1,75,1,1,0.01333,82.688,82.688,3,Copepoda,Subclass,nauplius,4,3.629,3.628,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-16,10:00:00,STTD,CLD,NA,1999,12.2,0.27,NA,NA,NA,NA,NA,NA,NA,STTDZ 004,NA,150_micron,Regular,10,123907,139578,15671,15671,75,1,75,1,1,0.01333,82.688,82.688,70,Cyclopoida,Order,NA,2,1.815,1.814,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-16,10:00:00,STTD,CLD,NA,1999,12.2,0.27,NA,NA,NA,NA,NA,NA,NA,STTDZ 004,NA,150_micron,Regular,10,123907,139578,15671,15671,75,1,75,1,1,0.01333,82.688,82.688,8,Cyclopoida,Order,copepodid,33,29.939,29.932,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-16,10:00:00,STTD,CLD,NA,1999,12.2,0.27,NA,NA,NA,NA,NA,NA,NA,STTDZ 004,NA,150_micron,Regular,10,123907,139578,15671,15671,75,1,75,1,1,0.01333,82.688,82.688,37,Daphnia sp.,Genus,NA,53,48.084,48.072,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-16,10:00:00,STTD,CLD,NA,1999,12.2,0.27,NA,NA,NA,NA,NA,NA,NA,STTDZ 004,NA,150_micron,Regular,10,123907,139578,15671,15671,75,1,75,1,1,0.01333,82.688,82.688,1,Rotifera,Phylum,NA,79,71.673,71.655,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-18,07:35:00,SHR,CLD,NA,1999,11.1,0.42,NA,NA,NA,NA,NA,NA,1,SHRZ 0005,NA,150_micron,Regular,10,139582,149771,10189,10189,100,1,100,1,5,0.05,53.762,53.762,60,Annelida,Phylum,NA,1,0.372,0.372,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-18,07:35:00,SHR,CLD,NA,1999,11.1,0.42,NA,NA,NA,NA,NA,NA,1,SHRZ 0005,NA,150_micron,Regular,10,139582,149771,10189,10189,100,1,100,1,5,0.05,53.762,53.762,35,Bosmina longirostris,Species,NA,9,3.348,3.348,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-18,07:35:00,SHR,CLD,NA,1999,11.1,0.42,NA,NA,NA,NA,NA,NA,1,SHRZ 0005,NA,150_micron,Regular,10,139582,149771,10189,10189,100,1,100,1,5,0.05,53.762,53.762,64,Calanoida,Order,copepodid,1,0.372,0.372,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-18,07:35:00,SHR,CLD,NA,1999,11.1,0.42,NA,NA,NA,NA,NA,NA,1,SHRZ 0005,NA,150_micron,Regular,10,139582,149771,10189,10189,100,1,100,1,5,0.05,53.762,53.762,69,Cladocera,Suborder,NA,23,8.556,8.556,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-18,07:35:00,SHR,CLD,NA,1999,11.1,0.42,NA,NA,NA,NA,NA,NA,1,SHRZ 0005,NA,150_micron,Regular,10,139582,149771,10189,10189,100,1,100,1,5,0.05,53.762,53.762,3,Copepoda,Subclass,nauplius,9,3.348,3.348,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-18,07:35:00,SHR,CLD,NA,1999,11.1,0.42,NA,NA,NA,NA,NA,NA,1,SHRZ 0005,NA,150_micron,Regular,10,139582,149771,10189,10189,100,1,100,1,5,0.05,53.762,53.762,70,Cyclopoida,Order,NA,3,1.116,1.116,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-18,07:35:00,SHR,CLD,NA,1999,11.1,0.42,NA,NA,NA,NA,NA,NA,1,SHRZ 0005,NA,150_micron,Regular,10,139582,149771,10189,10189,100,1,100,1,5,0.05,53.762,53.762,8,Cyclopoida,Order,copepodid,32,11.904,11.904,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-18,07:35:00,SHR,CLD,NA,1999,11.1,0.42,NA,NA,NA,NA,NA,NA,1,SHRZ 0005,NA,150_micron,Regular,10,139582,149771,10189,10189,100,1,100,1,5,0.05,53.762,53.762,37,Daphnia sp.,Genus,NA,2,0.744,0.744,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-18,07:35:00,SHR,CLD,NA,1999,11.1,0.42,NA,NA,NA,NA,NA,NA,1,SHRZ 0005,NA,150_micron,Regular,10,139582,149771,10189,10189,100,1,100,1,5,0.05,53.762,53.762,41,Diaphanosoma sp.,Genus,NA,6,2.232,2.232,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-18,07:35:00,SHR,CLD,NA,1999,11.1,0.42,NA,NA,NA,NA,NA,NA,1,SHRZ 0005,NA,150_micron,Regular,10,139582,149771,10189,10189,100,1,100,1,5,0.05,53.762,53.762,21,Diaptomus sp.,Genus,NA,3,1.116,1.116,1,NA,3,FMHIGH,1,NA,1,NA
