"","Fish_ID","FL","Date_month","Date_day","Date_year","WY","Date_sampled","week_no","biweekly","Region_subdivided5","Station_code","Site.Name","Lat","Long","rm_from_fp","fp","Taxa_LS_original","Taxa_LS","N","Taxa_LS_DW","DW_USE_g","Source","Notes","DW_g","excl","Stomach_fullness"
"19","DM14005",48,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Diptera_L","Diptera_L",3,"Diptera_L",0.00062,"This study",NA,0.00186,"n","3"
"20","DM14005",48,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Hymenoptera_A","Hymenoptera_A",1,"Hymenoptera_A",0.00071,"This study","Not much variation in our DW (3 reps) so ignoring diff with regression est",0.00071,"n","3"
"21","DM14005",48,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Ostracoda_A","Ostracoda_A",1,"Ostracoda_A",0.00049,"This study",NA,0.00049,"n","3"
"22","DM14006",49,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Amphipoda_A","Amphipoda_A",1,"Amphipoda_A",0.00082,"This study",NA,0.00082,"n","4"
"23","DM14006",49,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Cladocera_A","Cladocera_A",89,"Cladocera_A",5e-04,"This study",NA,0.0445,"n","4"
"24","DM14006",49,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Copepoda_A","Copepoda_A",2,"Copepoda_A",0.00047,"This study",NA,0.00094,"n","4"
"25","DM14006",49,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Diptera_A","Diptera_A",3,"Diptera_A",0.00053,"This study",NA,0.00159,"n","4"
"26","DM14006",49,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Hemiptera_A","Hemiptera_A",1,"Hemiptera_A",0.00068,"This study",NA,0.00068,"n","4"
"27","DM14007",62,2,43,2014,"2014-15","2/12/2014",7,7,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Amphipoda_A","Amphipoda_A",7,"Amphipoda_A",0.00082,"This study",NA,0.00574,"n","2"
"28","DM14007",62,2,43,2014,"2014-15","2/12/2014",7,7,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Diptera_L","Diptera_L",16,"Diptera_L",0.00062,"This study",NA,0.00992,"n","2"
"29","DM14007",62,2,43,2014,"2014-15","2/12/2014",7,7,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Hemiptera_N","Hemiptera_N",1,"Hemiptera_N",0.000217707,"This study",NA,0.000217707,"n","2"
"30","DM14008",46,3,66,2014,"2014-15","3/6/2014",10,9,"Lower Sac","SR043W","Clarksburg",38.38304913,-121.5208997,37,"sutter","Amphipoda_A","Amphipoda_A",2,"Amphipoda_A",0.00082,"This study",NA,0.00164,"n","3"
"31","DM14008",46,3,66,2014,"2014-15","3/6/2014",10,9,"Lower Sac","SR043W","Clarksburg",38.38304913,-121.5208997,37,"sutter","Chironomidae_L","Chironomidae_L",2,"Chironomidae_L",5e-04,"This study",NA,0.001,"n","3"
"32","DM14008",46,3,66,2014,"2014-15","3/6/2014",10,9,"Lower Sac","SR043W","Clarksburg",38.38304913,-121.5208997,37,"sutter","Cladocera_A","Cladocera_A",26,"Cladocera_A",5e-04,"This study",NA,0.013,"n","3"
"33","DM14008",46,3,66,2014,"2014-15","3/6/2014",10,9,"Lower Sac","SR043W","Clarksburg",38.38304913,-121.5208997,37,"sutter","Copepoda_A","Copepoda_A",16,"Copepoda_A",0.00047,"This study",NA,0.00752,"n","3"
"34","DM14008",46,3,66,2014,"2014-15","3/6/2014",10,9,"Lower Sac","SR043W","Clarksburg",38.38304913,-121.5208997,37,"sutter","Diptera_A","Diptera_A",6,"Diptera_A",0.00053,"This study",NA,0.00318,"n","3"
"35","DM14008",46,3,66,2014,"2014-15","3/6/2014",10,9,"Lower Sac","SR043W","Clarksburg",38.38304913,-121.5208997,37,"sutter","Hemiptera_A","Hemiptera_A",4,"Hemiptera_A",0.00068,"This study",NA,0.00272,"n","3"
"36","DM14008",46,3,66,2014,"2014-15","3/6/2014",10,9,"Lower Sac","SR043W","Clarksburg",38.38304913,-121.5208997,37,"sutter","Hymenoptera_A","Hymenoptera_A",1,"Hymenoptera_A",0.00071,"This study","Not much variation in our DW (3 reps) so ignoring diff with regression est",0.00071,"n","3"
"37","DM14009",48,3,66,2014,"2014-15","3/6/2014",10,9,"Lower Sac","SR043W","Clarksburg",38.38304913,-121.5208997,37,"sutter","Cladocera_A","Cladocera_A",2,"Cladocera_A",5e-04,"This study",NA,0.001,"n","1"
"38","DM14010",50,3,66,2014,"2014-15","3/6/2014",10,9,"Lower Sac","SR043W","Clarksburg",38.38304913,-121.5208997,37,"sutter","Cladocera_A","Cladocera_A",3,"Cladocera_A",5e-04,"This study",NA,0.0015,"n","1"
"39","DM14010",50,3,66,2014,"2014-15","3/6/2014",10,9,"Lower Sac","SR043W","Clarksburg",38.38304913,-121.5208997,37,"sutter","Diptera_P","Diptera_P",1,"Diptera_P",0.00065,"This study",NA,0.00065,"n","1"
"40","DM14011",46,3,66,2014,"2014-15","3/6/2014",10,9,"Lower Sac","SR043W","Clarksburg",38.38304913,-121.5208997,37,"sutter","Chironomidae_L","Chironomidae_L",2,"Chironomidae_L",5e-04,"This study",NA,0.001,"n","2"
"41","DM14011",46,3,66,2014,"2014-15","3/6/2014",10,9,"Lower Sac","SR043W","Clarksburg",38.38304913,-121.5208997,37,"sutter","Cladocera_A","Cladocera_A",6,"Cladocera_A",5e-04,"This study",NA,0.003,"n","2"
"42","DM14011",46,3,66,2014,"2014-15","3/6/2014",10,9,"Lower Sac","SR043W","Clarksburg",38.38304913,-121.5208997,37,"sutter","Diptera_P","Diptera_P",1,"Diptera_P",0.00065,"This study",NA,0.00065,"n","2"
"43","DM14011",46,3,66,2014,"2014-15","3/6/2014",10,9,"Lower Sac","SR043W","Clarksburg",38.38304913,-121.5208997,37,"sutter","Ostracoda_A","Ostracoda_A",2,"Ostracoda_A",0.00049,"This study",NA,0.00098,"n","2"
"44","DM14012",49,3,72,2014,"2014-15","3/12/2014",11,11,"Lower Sac","SR043W","Clarksburg",38.38304913,-121.5208997,37,"sutter","Corixidae_A","Corixidae_A_N",1,"Corixidae_A",0.00111,"This study","Not much variation in our DW (2 reps) so ignoring diff with regression est",0.00111,"n","1"
"45","DM14013",47,3,72,2014,"2014-15","3/12/2014",11,11,"Lower Sac","SR043W","Clarksburg",38.38304913,-121.5208997,37,"sutter","Amphipoda_A","Amphipoda_A",1,"Amphipoda_A",0.00082,"This study",NA,0.00082,"n","1"
"46","DM14014",48,3,72,2014,"2014-15","3/12/2014",11,11,"Lower Sac","SR043W","Clarksburg",38.38304913,-121.5208997,37,"sutter","Amphipoda_A","Amphipoda_A",2,"Amphipoda_A",0.00082,"This study",NA,0.00164,"n","3"
"47","DM14014",48,3,72,2014,"2014-15","3/12/2014",11,11,"Lower Sac","SR043W","Clarksburg",38.38304913,-121.5208997,37,"sutter","Chironomidae_L","Chironomidae_L",5,"Chironomidae_L",5e-04,"This study",NA,0.0025,"n","3"
"48","DM14014",48,3,72,2014,"2014-15","3/12/2014",11,11,"Lower Sac","SR043W","Clarksburg",38.38304913,-121.5208997,37,"sutter","Corixidae_A","Corixidae_A_N",1,"Corixidae_A",0.00111,"This study","Not much variation in our DW (2 reps) so ignoring diff with regression est",0.00111,"n","3"
"49","DM14015",37,3,72,2014,"2014-15","3/12/2014",11,11,"Lower Sac","SR043W","Clarksburg",38.38304913,-121.5208997,37,"sutter","NA_A","NA_A",0,NA,NA,NA,NA,NA,"n_EMPTY","0"
"50","DM14016",77,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Amphipoda_A","Amphipoda_A",2,"Amphipoda_A",0.00082,"This study",NA,0.00164,"n","3"
"51","DM14016",77,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Chironomidae_L","Chironomidae_L",1,"Chironomidae_L",5e-04,"This study",NA,5e-04,"n","3"
"52","DM14016",77,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Cladocera_A","Cladocera_A",2,"Cladocera_A",5e-04,"This study",NA,0.001,"n","3"
"53","DM14016",77,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Corophiidae_A","Corophiidae_A",1,"Corophiidae_A",0.00093,"This study",NA,0.00093,"n","3"
"54","DM14016",77,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Diptera_A","Diptera_A",6,"Diptera_A",0.00053,"This study",NA,0.00318,"n","3"
"55","DM14016",77,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Diptera_P","Diptera_P",4,"Diptera_P",0.00065,"This study",NA,0.0026,"n","3"
"56","DM14016",77,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Hydracarina_A","Hydracarina_A_N",1,"Hydracarina_A",1e-05,"CFS","Note similar to 24.5ug mean mite weight from Douce 1976 (""163 weighings were made utilizing 1528 mites, representing 25 species of adults and 16 groups of immature stages of several species"") but as Cramer is local use that. Nymphs and adults similar size. ",1e-05,"n","3"
"57","DM14017",72,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Amphipoda_A","Amphipoda_A",3,"Amphipoda_A",0.00082,"This study",NA,0.00246,"n","5"
"58","DM14017",72,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Cladocera_A","Cladocera_A",3,"Cladocera_A",5e-04,"This study",NA,0.0015,"n","5"
"59","DM14017",72,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Coleoptera_L","Coleoptera_L",1,"Coleoptera_L",0.00102,"This study",NA,0.00102,"n","5"
"60","DM14017",72,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Copepoda_A","Copepoda_A",3,"Copepoda_A",0.00047,"This study",NA,0.00141,"n","5"
"61","DM14017",72,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Corophiidae_A","Corophiidae_A",2,"Corophiidae_A",0.00093,"This study",NA,0.00186,"n","5"
"62","DM14017",72,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Diptera_A","Diptera_A",22,"Diptera_A",0.00053,"This study",NA,0.01166,"n","5"
"63","DM14017",72,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Diptera_P","Diptera_P",34,"Diptera_P",0.00065,"This study",NA,0.0221,"n","5"
"64","DM14017",72,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Hemiptera_N","Hemiptera_N",2,"Hemiptera_N",0.000217707,"This study",NA,0.000435414,"n","5"
"65","DM14017",72,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Hydracarina_A","Hydracarina_A_N",7,"Hydracarina_A",1e-05,"CFS","Note similar to 24.5ug mean mite weight from Douce 1976 (""163 weighings were made utilizing 1528 mites, representing 25 species of adults and 16 groups of immature stages of several species"") but as Cramer is local use that. Nymphs and adults similar size. ",7e-05,"n","5"
"66","DM14017",72,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Hymenoptera_A","Hymenoptera_A",2,"Hymenoptera_A",0.00071,"This study","Not much variation in our DW (3 reps) so ignoring diff with regression est",0.00142,"n","5"
"67","DM14018",77,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Chironomidae_L","Chironomidae_L",4,"Chironomidae_L",5e-04,"This study",NA,0.002,"n","4"
"68","DM14018",77,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Cladocera_A","Cladocera_A",2,"Cladocera_A",5e-04,"This study",NA,0.001,"n","4"
"69","DM14018",77,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Coleoptera_L","Coleoptera_L",2,"Coleoptera_L",0.00102,"This study",NA,0.00204,"n","4"
"70","DM14018",77,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Corophiidae_A","Corophiidae_A",6,"Corophiidae_A",0.00093,"This study",NA,0.00558,"n","4"
"71","DM14018",77,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Diptera_A","Diptera_A",6,"Diptera_A",0.00053,"This study",NA,0.00318,"n","4"
"72","DM14018",77,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Diptera_P","Diptera_P",3,"Diptera_P",0.00065,"This study",NA,0.00195,"n","4"
"73","DM14018",77,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Odonata_N","Odonata_A_N",1,"Odonata_N",0.00488,"This study","Coenagrionidae is most common taxa from CDFW data",0.00488,"n","4"
"74","DM14019",71,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Cladocera_A","Cladocera_A",1,"Cladocera_A",5e-04,"This study",NA,5e-04,"n","3"
"75","DM14019",71,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Copepoda_A","Copepoda_A",3,"Copepoda_A",0.00047,"This study",NA,0.00141,"n","3"
"76","DM14019",71,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Corophiidae_A","Corophiidae_A",4,"Corophiidae_A",0.00093,"This study",NA,0.00372,"n","3"
"77","DM14019",71,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Diptera_A","Diptera_A",1,"Diptera_A",0.00053,"This study",NA,0.00053,"n","3"
"78","DM14019",71,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Diptera_L","Diptera_L",5,"Diptera_L",0.00062,"This study",NA,0.0031,"n","3"
"79","DM14019",71,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Diptera_P","Diptera_P",3,"Diptera_P",0.00065,"This study",NA,0.00195,"n","3"
"80","DM14019",71,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Hemiptera_A","Hemiptera_A",1,"Hemiptera_A",0.00068,"This study",NA,0.00068,"n","3"
"81","DM14019",71,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Hydracarina_A","Hydracarina_A_N",1,"Hydracarina_A",1e-05,"CFS","Note similar to 24.5ug mean mite weight from Douce 1976 (""163 weighings were made utilizing 1528 mites, representing 25 species of adults and 16 groups of immature stages of several species"") but as Cramer is local use that. Nymphs and adults similar size. ",1e-05,"n","3"
"82","DM14020",74,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Amphipoda_A","Amphipoda_A",1,"Amphipoda_A",0.00082,"This study",NA,0.00082,"n","3"
"83","DM14020",74,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Cladocera_A","Cladocera_A",7,"Cladocera_A",5e-04,"This study",NA,0.0035,"n","3"
"84","DM14020",74,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Copepoda_A","Copepoda_A",1,"Copepoda_A",0.00047,"This study",NA,0.00047,"n","3"
"85","DM14020",74,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Diptera_A","Diptera_A",10,"Diptera_A",0.00053,"This study",NA,0.0053,"n","3"
"86","DM14020",74,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Diptera_P","Diptera_P",15,"Diptera_P",0.00065,"This study",NA,0.00975,"n","3"
"87","DM14020",74,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Hemiptera_A","Hemiptera_A",1,"Hemiptera_A",0.00068,"This study",NA,0.00068,"n","3"
"88","DM14021",72,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Chironomidae_L","Chironomidae_L",1,"Chironomidae_L",5e-04,"This study",NA,5e-04,"n","3"
"89","DM14021",72,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Cladocera_A","Cladocera_A",5,"Cladocera_A",5e-04,"This study",NA,0.0025,"n","3"
"90","DM14021",72,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Coleoptera_L","Coleoptera_L",1,"Coleoptera_L",0.00102,"This study",NA,0.00102,"n","3"
"91","DM14021",72,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Copepoda_A","Copepoda_A",1,"Copepoda_A",0.00047,"This study",NA,0.00047,"n","3"
"92","DM14021",72,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Diptera_A","Diptera_A",9,"Diptera_A",0.00053,"This study",NA,0.00477,"n","3"
"93","DM14021",72,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Diptera_P","Diptera_P",9,"Diptera_P",0.00065,"This study",NA,0.00585,"n","3"
"94","DM14021",72,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Hemiptera_A","Hemiptera_A",2,"Hemiptera_A",0.00068,"This study",NA,0.00136,"n","3"
"95","DM14022",67,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Amphipoda_A","Amphipoda_A",2,"Amphipoda_A",0.00082,"This study",NA,0.00164,"n","3"
"96","DM14022",67,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Cladocera_A","Cladocera_A",3,"Cladocera_A",5e-04,"This study",NA,0.0015,"n","3"
"97","DM14022",67,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Collembola_A","Collembola_A",3,"Collembola_A",0.00038,"This study",NA,0.00114,"n","3"
"98","DM14022",67,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Copepoda_A","Copepoda_A",5,"Copepoda_A",0.00047,"This study",NA,0.00235,"n","3"
"99","DM14022",67,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Diptera_A","Diptera_A",19,"Diptera_A",0.00053,"This study",NA,0.01007,"n","3"
"100","DM14022",67,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Diptera_L","Diptera_L",1,"Diptera_L",0.00062,"This study",NA,0.00062,"n","3"
"101","DM14022",67,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Diptera_P","Diptera_P",9,"Diptera_P",0.00065,"This study",NA,0.00585,"n","3"
"102","DM14022",67,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Hemiptera_A","Hemiptera_A",7,"Hemiptera_A",0.00068,"This study",NA,0.00476,"n","3"
"103","DM14022",67,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Hydracarina_A","Hydracarina_A_N",4,"Hydracarina_A",1e-05,"CFS","Note similar to 24.5ug mean mite weight from Douce 1976 (""163 weighings were made utilizing 1528 mites, representing 25 species of adults and 16 groups of immature stages of several species"") but as Cramer is local use that. Nymphs and adults similar size. ",4e-05,"n","3"
"104","DM14023",77,4,102,2014,"2014-15","4/11/2014",15,15,"Lower Sac","SR055M","Sherwood Harbor",38.52739416,-121.5293747,28,"sutter","Amphipoda_A","Amphipoda_A",3,"Amphipoda_A",0.00082,"This study",NA,0.00246,"n","2"
